feature,importance_rf
growth_rates.retire_year,0.7518970853930861
consumption_rates.sti_scale_factors.Basic,0.044962628158560634
growth_rates.efficiency_doubling,0.02552797875411906
initial_data.f_clean,0.020083249934157988
consumption_rates.ecav_scale_factors.L3,0.01076652987584536
growth_rates.ev,0.01043496985757008
consumption_rates.sti_scale_factors.communication,0.008907638983081785
consumption_rates.ecav_scale_factors.L5,0.008056960957128387
consumption_rates.cohort_decay_factor,0.007828082426598378
consumption_rates.sti_scale_factors.sensing,0.007637125021892276
consumption_rates.ecav_scale_factors.communication,0.007584458960699493
emission_factors.e_fossil,0.007305220038480142
consumption_rates.cav_levels[1],0.007220644596943308
consumption_rates.cav_levels[2],0.0068674836253796384
consumption_rates.ecav_scale_factors.L4,0.006828894966611325
consumption_rates.ecav_scale_factors.computing,0.006709383267585304
consumption_rates.sti_levels[1],0.006439559045291807
growth_rates.cav,0.0063688159442969045
growth_rates.clean_energy,0.006353824113772368
consumption_rates.cav_levels[0],0.005677942824785099
consumption_rates.sti_levels[2],0.0050500455868812055
consumption_rates.ecav_scale_factors.sensing,0.0046682826254599895
consumption_rates.sti_levels[0],0.004464342935970496
consumption_rates.sti_scale_factors.Highly,0.0038745575796862272
growth_rates.total_car_increase,0.003870358574166781
growth_rates.sti,0.003549700778643659
consumption_rates.sti_scale_factors.Semi,0.003237404988592119
emission_factors.e_clean,0.0029720372887986992
emission_factors.e_gasoline,0.0024761761933380644
consumption_rates.sti_scale_factors.computing,0.0023786167025772764
