feature,importance_rf
consumption_rates.sti_scale_factors.Semi,0.2878018983401334
emission_factors.e_gasoline,0.17008150061515057
growth_rates.ev,0.09023982350423647
consumption_rates.cohort_decay_factor,0.06397443609902013
growth_rates.total_car_increase,0.047500954559464584
growth_rates.efficiency_doubling,0.03831178112328537
emission_factors.e_clean,0.03501941329502317
consumption_rates.ecav_scale_factors.sensing,0.032022160754839255
emission_factors.e_fossil,0.027824509523517234
consumption_rates.cav_levels[2],0.024347176763236052
consumption_rates.sti_scale_factors.computing,0.018093719938894866
consumption_rates.ecav_scale_factors.L4,0.01704302876852312
consumption_rates.cav_levels[0],0.015585700852230976
consumption_rates.sti_scale_factors.sensing,0.01424465995798916
consumption_rates.sti_scale_factors.Basic,0.013704196565981477
consumption_rates.ecav_scale_factors.computing,0.012693098387921087
growth_rates.sti,0.012285111551043722
consumption_rates.ecav_scale_factors.L3,0.008185142351642543
consumption_rates.sti_levels[0],0.007752449999618711
consumption_rates.cav_levels[1],0.007710713428352091
growth_rates.cav,0.007647871339039923
consumption_rates.sti_scale_factors.communication,0.006957589471814693
growth_rates.clean_energy,0.00679978682026779
initial_data.f_clean,0.0065152787921845205
consumption_rates.sti_scale_factors.Highly,0.006143243747932672
consumption_rates.sti_levels[1],0.0056136863374775595
consumption_rates.ecav_scale_factors.L5,0.005368532633854375
consumption_rates.ecav_scale_factors.communication,0.004047566278647185
growth_rates.retire_year,0.003535244204853457
consumption_rates.sti_levels[2],0.0029497239938237334
